ID,Tên,Thông tin mô tả,Tính năng nổi bật,Tính năng khác,Kiểu dáng,Màu bên ngoài,Chiều dài(mm),Chiều dài cơ sở(mm),Chiều rộng(mm),khoảng sáng gầm(mm),Số chỗ ngồi,Trọng lượng bản thân (kg),Trọng lượng toàn tải,Dung tích khoang hành lý (lít),Dung tích khoang hành lý khi gặp ghế sau (lít),Công suất tốt đa,Tốc độ tối đa,0-100,Tầm hoạt động,Dung lượng pin,Chi phí sạc đầy,Chi phí hàng tháng,Sạc chậm (giờ),Sạc tiêu chuẩn (giờ),Sạc treo tường
100000482,VinFast VF8 Eco 2020 lướt ,"⚡️ VinFast VF8 Eco – SX 2023-Pin SDI, odo: 5 vạn km-Xe nhóm 3 nhưng chất lượng như nhóm 2-Đổi xăng sang điện vẫn được ưu đãi giảm 70 triệu-💰 Giá thu cực tốt – anh em nhanh tay kẻo lỡ!",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Trắng,4750,2950,1934,179,5,2540,2990,376,1373,349.0 hp,200 km/h,6.5 giây,420.0 km,82.0 kWh,156000 VNĐ,585000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 24 phút
100000494,VinFast VF9 2024 lướt ,"🐲 VF9 HOẢ LONG ĐỘC BẢN – XÁM TITAN LUXURY 🐲--🚘 Sản xuất 2024 – Mua đứt pin CATL-⚡ Miễn phí sạc gần 3 năm – tận 01/01/2028-🌟 Siêu lướt mới cóng: Odo 1.500 km--✨ Ngoại thất Xám Titan độc bản – nội thất đen nâu da bò mix vân gỗ sang trọng bậc nhất.-✨ Trang bị thêm:--Film 3M Thương Gia cao cấp--Thảm sàn 6D Vip--Mâm + dàn chân Hoả Long độc bản – mạnh mẽ &amp; khác biệt--💰 Giá sở hữu cực tốt: 1 Tỷ 2xx Triệu--✅ Xe zin, đẹp net căng, chất lượng chuẩn 99%-✅ Bao check test toàn quốc – hỗ trợ ship tận nhà 🚛🛫",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp - Khả năng siêu nạp - Khả năng tự lái hoàn toàn - Nội thất bảy chỗ,Âm thanh 13 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Xám,5118,3150,2254,197,7,2830,3306,,,402.0 hp,200 km/h,7.5 giây,480.0 km,92.0 kWh,161000 VNĐ,503000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 26 phút
100000493,VinFast VF8 Eco 2025 lướt ,"🚘 Xe Mới Về – VF8 Eco 2023 🚘-✨ Thông tin nổi bật:-Mua pin CATL – bền bỉ, yên tâm sử dụng-Odo: 2.000 km – gần như xe mới, sơn zin 100%-Biển trắng cá nhân, không taxi – không GF-Hồ sơ cầm tay, sang tên nhanh gọn trong 24h-Miễn phí sạc tới T7/2027 – chạy gần như 0 đồng chi phí 💸-Hỗ trợ trả góp, kể cả khách đang có nợ xấu-💰 Giá: 7xx Triệu – siêu hợp lý cho một em SUV điện chuẩn lướt như mới!",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đỏ,4750,2950,1934,179,5,2540,2990,376,1373,349.0 hp,200 km/h,6.5 giây,420.0 km,82.0 kWh,156000 VNĐ,585000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 24 phút
100000495,VinFast VF9 Plus 2024 cũ ,"✨ Mở Bát Tháng Mới – VF9 Plus Pin CATL Chỉ 1 Tỷ 069tr ✨--🚘 Siêu lướt chỉ 2.5v km – Đăng ký lần đầu 2025, zin đét full lịch sử hãng.-🔥 Bản 7 ghế trần kính cực đẹp, option thương gia sang xịn mịn.--✔️ Đã bill full đồ:--Flim 3M thương gia--Camera hành trình trước – sau--Thảm sàn Kata chính hãng--⚡ Pin CATL cực khoẻ: sạc 1 lần chạy ~620km--Thuê pin gói linh hoạt: chỉ 2.7tr/tháng – pin bảo hành trọn đời--Nếu muốn mua pin: +150tr--💰 Giá chỉ: 1 Tỷ 069tr – Quá hời cho siêu phẩm VF9 Plus!",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp - Khả năng siêu nạp - Khả năng tự lái hoàn toàn - Nội thất bảy chỗ,Âm thanh 13 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Xanh dương,5118,3150,2254,197,7,2830,3306,,,402.0 hp,200 km/h,7.5 giây,480.0 km,92.0 kWh,161000 VNĐ,503000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 26 phút
100000479,VinFast VF6 Plus 2024 lướt – 3000 km,"🔥 Về thêm một em VF6s Mua Pin – ngon, gọn, tiết kiệm!-Odo chuẩn 3v km-Đồ chơi hơn 50tr: film xịn 12tr, thảm sàn 6D, ốp carbon, bảo hiểm thân vỏ đầy đủ...-Xe lướt đẹp, giữ gìn kỹ, mua pin yên tâm dùng lâu dài-💰 Giá thu cực chuẩn: 6xx triệu-👉 Anh em nhanh tay chốt kèo trước khi bay!",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Xám,4238,2730,1820,170,5,1550,1977,350,1275,201.0 hp,175 km/h,8.5 giây,381.0 km,59.6 kWh,104000 VNĐ,400000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 9 giờ,"Sạc đầy khoảng 70% trong 24,19 phút"
100000478,VinFast VF9 Plus 2023 lướt ,"🇻🇳 VinFast VF9 – Huyết Long Thần Mã 🇻🇳-📍 Model 2023 – Plus 6 ghế Thương Gia, trần kính panorama-✅ Mua đứt pin SDI, full option – full ADAS-⚡ Miễn phí sạc đến 31/12/2027-✨ Odo 4.000km, xe gần như mới tinh-🚘 Đã trang bị: dán kính xịn, trải sàn, dán PPF full nội thất, cam hành trình trước sau, cam 360…-👉 Anh em nào đang tìm SUV điện sang – hiếm – chuẩn thương gia thì đây là lựa chọn số 1!",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp - Khả năng siêu nạp - Khả năng tự lái hoàn toàn - Nội thất bảy chỗ,Âm thanh 13 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đỏ,5118,3150,2254,197,7,2830,3306,,,402.0 hp,200 km/h,7.5 giây,480.0 km,92.0 kWh,161000 VNĐ,503000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 26 phút
100000490,VinFast Limo Green ,"Vinfast LIMO GREEN - giao NGAY - TP.HCM,  Bình Thuận, BRVT-+ Tặng sạc miễn phí đến 30/6/2027-+ Miễn 100% lệ phí trước bạ-—--+ Giảm giá 4% ~ 21 triệu-+ Tặng 2 năm bảo hiểm thân vỏ.-+ Giảm thêm 12 triệu-+ Hỗ trợ đổi xăng sang điện: 10 triệu-+ Ưu đãi hạng VinClub: 7 triệu-+ Riêng khách hàng TP.HCM: tặng thêm 10 triệu-—————————— -- Hỗ trợ Bank lên đến 80%- 85% - 90% giá trị xe! Chỉ cần 15% Tổng giá trị xe !!!!-- Hỗ trợ giao xe tận nhà!-- Hỗ trợ đăng ký, đăng kiểm!-- Hỗ trợ khách hàng không có hộ khẩu Hà Nội nhưng đăng kí xe được biển Hà Nội!-+ Cam kết giá xe tốt nhất và khuyến mại nhiều nhất thị trường.",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,Minivan (MPV),Trắng,4740,2840,1872,170,7,,,,,204.0 hp,175 km/h,9.5 giây,450.0 km,60.1 kWh,132000 VNĐ,465000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 7 giờ,Sạc đầy khoảng 70% trong 30 phút
100000483,VinFast VF8 Eco 2022 cũ ,"🚘 GF VF8 Eco 2022 – Hàng chất vừa cập bến!-✨ Thông tin nổi bật:-Mua pin SDI chính chủ-Odo: 40.000 km – chạy giữ gìn, xe đẹp-Hỗ trợ thu cũ đổi mới -70 Triệu cực lợi cho anh em muốn nâng cấp xe!-💬 Anh em nhanh tay ib để giữ giá tốt nhất!",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Xanh dương,4750,2950,1934,179,5,2540,2990,376,1373,349.0 hp,200 km/h,6.5 giây,420.0 km,82.0 kWh,156000 VNĐ,585000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 24 phút
100000488,VinFast VF8 Eco 2023 cũ ,"VF8 ĐỎ – PHONG CÁCH NỔI BẬT, ĐẲNG CẤP KHÁC BIỆT ❤️-GF Bắc Tây Nguyên trân trọng giới thiệu mẫu VF8 màu đỏ – chiếc xe điện không chỉ bền bỉ, thông minh mà còn mang đậm dấu ấn cá tính của chủ nhân.-✨ Vì sao VF8 luôn là lựa chọn hàng đầu?-✔️ Thiết kế thời thượng – màu đỏ sang trọng &amp; cuốn hút-✔️ Pin hiệu suất cao, hành trình mạnh mẽ-✔️ Công nghệ thông minh chuẩn VinFast – an toàn tối đa-✔️ Xe lướt chính hãng – kiểm định 139 bước chuẩn GF, an tâm tuyệt đối-🔥 VF8 đỏ hiện đang có sẵn tại GF Bắc Tây Nguyên, sẵn sàng bàn giao ngay cho khách hàng nhanh tay nhất!-🎁 Đặc biệt:-✅ Ưu đãi đến 70 TRIỆU khi đổi xe xăng sang xe điện-✅ Trả góp lãi suất chỉ từ 5.5%-✅ Hỗ trợ thủ tục vay nhanh chóng – giao xe tận nơi-🎯 Tại sao chọn mua tại GF Bắc Tây Nguyên?-🔧 139 bước kiểm định – từ pin, khung gầm đến công nghệ-📑 Minh bạch lịch sử sử dụng – rõ ràng số km, nguồn gốc-🔄 Hỗ trợ đổi xe – nâng đời-🛡️ Bảo hành pin – hậu mãi như xe mới-📝Hỗ trợ : 70% giá trị xe-🌱 GF Bắc Tây Nguyên - Xe Điện Đã Qua Sử Dụng Chính Hãng-----------------------------------------------🚨Xem xe tại 588 Tây Sơn,Quy Nhơn Nam,Gia Lai -#GreenFuture #GFbactaynguyen #otocu #XeDienCu #XeDienCuGiaTot #XeDienCuChatLuong #XeDienDaQuaSuDung #XeDienReDep #xevinfast #xedienvinfast #VF8lướt #XeĐiệnVinFast #ChuẩnGF #XeCóSẵn #XeCoSan #Thang9 #XeDienChinhHang #ChuanGF #VF8 #VF8Do #XeDienChinhHang #ChuanGF",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đen,4750,2950,1934,179,5,2540,2990,376,1373,349.0 hp,200 km/h,6.5 giây,420.0 km,82.0 kWh,156000 VNĐ,585000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 24 phút
100000480,VinFast VF5 Plus 2023 lướt ,"🔥 Về thêm VF5 Plus 2023 – nhỏ gọn, tiện lợi, cực tiết kiệm-Odo chuẩn 2,5v km-Pin đã mua đứt, miễn phí sạc tới 2027 – đi gần như 0 đồng chi phí-Trang bị thêm: film cách nhiệt loại xịn, thảm sàn, cảm biến áp suất lốp...-💰 Giá: 435 triệu-👉 Xe lướt chất lượng – sẵn đi, sẵn phong thủy!",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đỏ,3967,2513,1723,182,5,1360,1685,260,900,134.0 hp,130 km/h,12.0 giây,326.4 km,37.2 kWh,64000 VNĐ,320000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 30 phút
100000486,VinFast VF8 Eco 2023 cũ ,"Cập nhật kho xe sẵn tại GF. Xe lướt chính hãng VinFast tại GF Bắc Tây Nguyên Miền Trung (Bình Định và Phú Yên).-Xe sẵn giao ngay - Quà tặng liền tay.-Với các dòng xe VF8 GF Quý Khách Hàng đặt cọc và xuất hoá đơn trong tháng được tặng 01 năm bảo hiểm thân vỏ, giá trị lên tới hơn 10tr đồng!!!-Danh sách xe sẵn các dòng từ VF5 -VF8 - VF9!!!-VF5 giá chỉ 4xx nhỏ.-VF8 giá chỉ 6xx nhỏ.-VF9 giá chỉ 1 tỷ x nhỏ.-Quý Khách Hàng gọi ngay:-Để cọc xe ngay nhé.-❤Số lượng xe có hạn, chỉ 1 xe 1 màu 1 phiên bản phù hợp với Quý Anh, Chị!!!-Địa chỉ xem xe:-153 Nguyễn Tất Thành, Phường Tuy Hoà, Tỉnh Đắk Lắk (Phú Yên cũ).-588 Tây Sơn, Phường Quy Nhơn Nam, Tỉnh Gia Lai (Bình Định cũ).",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Khác,4750,2950,1934,179,5,2540,2990,376,1373,349.0 hp,200 km/h,6.5 giây,420.0 km,82.0 kWh,156000 VNĐ,585000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 24 phút
100000481,VinFast VF8 Plus 2022 xe GĐ ,VF8 PLUS odo 4 vạn sơn zin gần cả xe 6xx triệu. Xe cá nhân chưa 1 lần chạy dịch vụ ( xe Gia Đình )-Chi tiết--Vf8 plus 2022 odo 4 vạn thuê pin tiên phong 2tr1/tháng chạy ko giới hạn--Vừa đăng kiểm 2 năm mới tinh-LH e chốt sớm nhé,Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Khác,4750,2950,1934,179,5,2540,2990,376,1373,402.0 hp,200 km/h,5.5 giây,400.0 km,82.0 kWh,156000 VNĐ,585000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 24 phút
100000484,VinFast VF3 2025 lướt ,"HOT TREND VỀ BÃI – VF3 Hồng Tím 🎉-Xe mới tinh 100%-Mua pin, đã gia cố càng A + nhiều đồ chơi khác-💜 Màu sắc siêu độc, siêu lạ – đi phố hay đi chơi đều nổi bật giữa đám đông.",,,SUV/Crossover,,,,,,5,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sạc đầy khoảng N/A,Sạc đầy khoảng N/A,Sạc đầy khoảng N/A
100000492,VinFast VF5 Plus 2025 mới,Sở hữu ngay VF5 Plus biển số hà nội chỉ với 25 triệu -5 triệu với biển số hà nội -Áp dụng full ưu đãi từ vinfast-Giảm 4% giá xe -Giảm ngay 10 triệu thu cũ đổi mới -Tặng 15 triệu quà tặng -Hỗ trợ bank 8 năm với mức lãi suất ưu đãi -Liên hệ trực tiếp để được tư vấn về chính sách và lái thử,Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Xanh lá,3967,2513,1723,182,5,1360,1685,260,900,134.0 hp,130 km/h,12.0 giây,326.4 km,37.2 kWh,64000 VNĐ,320000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 30 phút
100000487,VinFast VF8 Eco 2023 cũ ,"VF8 Xe lướt bản Eco.-- Sản Xuất: 2023.-- ODO: 42 ngàn cây.-- Gía: 715 triệu.-- Thu cũ xe xăng đổi điện giảm thêm 70 trịu.-- Tặng BHTV 1 năm (áp dụng hết tháng 9), cứu hộ 24/24 miễn phí, miễn phí xạc đến tháng 6 năm 2027.",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đen,4750,2950,1934,179,5,2540,2990,376,1373,349.0 hp,200 km/h,6.5 giây,420.0 km,82.0 kWh,156000 VNĐ,585000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 24 phút
100000491,VinFast VF8 Eco 2024 ,"Sẵn VF8 eco 2024 đỏ giao ngay -xe mới chưa đi nội thất còn nguyên nylon , -phiên bản mới đã fix lỗi và cải tiến hệ thống treo + cách âm , êm hơn ít ù hơn những phiên bản trước -Pin CATL di chuyển 470km/ 1 lần sạc -Đặc biệt giá bán vô cùng tốt cho khách hàng có xe xăng đổi bán sang mua xe điện -Được hỗ trợ gói vay ngân hàng",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đỏ,4750,2950,1934,179,5,2540,2990,376,1373,349.0 hp,200 km/h,6.5 giây,420.0 km,82.0 kWh,156000 VNĐ,585000 VNĐ,Sạc đầy khoảng 8-10 giờ,Sạc đầy khoảng 4 giờ,Sạc đầy khoảng 70% dưới 24 phút
100000476,VinFast VF6 Eco 2025 mới,"VF6 eco sẵn xe  chạy Ngâu, giá nghe là chốt",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Trắng,4238,2730,1820,170,5,1550,1977,350,1275,134.0 hp,150 km/h,8.5 giây,399.0 km,59.6 kWh,104000 VNĐ,400000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 9 giờ,"Sạc đầy khoảng 70% trong 24,19 phút"
100000475,VinFast VF3 2025 mới,VF3 sẵn xe giao ngay giá tốt chạy ngâu - VinFast Âu Lạc - HP,Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hỗ trợ khởi hành ngang dốc - Kiểm soát lực kéo - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Xám,3190,2075,1679,191,5,857,1157,36,285,43.0 hp,100 km/h,19.3 giây,210.0 km,18.6 kWh,25000 VNĐ,384000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 36 phút
